01-11 16:46:26.190 25729  4605 D HONFecService: output: groupId=6716, index=2, length=40
01-11 16:46:26.190 25729  7445 D HONFecService: input: groupId=7376, index=4, length=1452
01-11 16:46:26.192 25729  4706 D HONFecService: output: groupId=6716, index=3, length=40
01-11 16:46:26.200 25729  4605 D HONFecService: output: groupId=6716, index=4, length=40
01-11 16:46:26.200 25729  4605 D HONFecService: input: groupId=7377, index=3, length=1452
01-11 16:46:26.203 25729  7445 D HONFecService: output: groupId=6717, index=0, length=40
01-11 16:46:26.204 25729  6200 D HONFecService: output: groupId=6717, index=1, length=40
01-11 16:46:26.205 25729  6200 D HONFecService: output: groupId=6717, index=2, length=40
01-11 16:46:26.208 25729  4604 D HONFecService: input: groupId=7377, index=4, length=1452
01-11 16:46:26.210 25729  4598 D HONFecService: output: groupId=6717, index=3, length=40
01-11 16:46:26.215 25729  4599 D HONFecService: input: groupId=7378, index=0, length=60
01-11 16:46:26.219 25729  4609 D HONFecService: output: groupId=6717, index=4, length=52
01-11 16:46:26.220 25729  4602 D HONFecService: output: groupId=6718, index=0, length=569
01-11 16:46:26.221 25729  4609 D HONFecService: input: groupId=7378, index=1, length=1452
01-11 16:46:26.222 25729  7444 D HONFecService: output: groupId=6718, index=1, length=40
01-11 16:46:26.224 25729  7442 D HONFecService: input: groupId=7378, index=2, length=1452
01-11 16:46:26.226 25729  4602 D HONFecService: output: groupId=6718, index=2, length=40
01-11 16:46:26.233 25729  7441 D HONFecService: input: groupId=7378, index=3, length=1452
01-11 16:46:26.234 25729  4593 D HONFecService: output: groupId=6718, index=3, length=40
01-11 16:46:26.236 25729  4606 D HONFecService: input: groupId=7378, index=4, length=1452
01-11 16:46:26.237 25729  7441 D HONFecService: output: groupId=6718, index=4, length=40
01-11 16:46:26.238 25729  4604 D HONFecService: input: groupId=7379, index=0, length=1452
01-11 16:46:26.239 25729  4599 D HONFecService: input: groupId=7379, index=1, length=1452
01-11 16:46:26.242 25729  4631 D HONFecService: input: groupId=7379, index=2, length=136
01-11 16:46:26.246 25729  6200 D HONFecService: output: groupId=6719, index=0, length=40
01-11 16:46:26.248 25729  4593 D HONFecService: output: groupId=6719, index=1, length=40
01-11 16:46:26.249 25729  4674 D HONFecService: input: groupId=7379, index=3, length=41
01-11 16:46:26.250 25729  4598 D HONFecService: input: groupId=7379, index=4, length=52
01-11 16:46:26.251 25729  6200 D HONFecService: output: groupId=6719, index=2, length=52
01-11 16:46:26.258 25729  4665 D HONFecService: input: groupId=7380, index=0, length=1348
01-11 16:46:26.259 25729  4665 D HONFecService: input: groupId=7380, index=1, length=228
