01-11 18:30:24.831 25729 21039 D HONFecService: output: groupId=3052, index=4, length=40
01-11 18:30:24.831 25729 24574 D HONFecService: input: groupId=4635, index=0, length=1452
01-11 18:30:24.833 25729 24574 D HONFecService: input: groupId=4635, index=1, length=1452
01-11 18:30:24.834 25729 24574 D HONFecService: input: groupId=4635, index=2, length=1452
01-11 18:30:24.835 25729  6200 D HONFecService: input: groupId=4635, index=3, length=1452
01-11 18:30:24.835 25729 24541 D HONFecService: output: groupId=3053, index=0, length=40
01-11 18:30:24.836 25729 23496 D HONFecService: input: groupId=4635, index=4, length=160
01-11 18:30:24.838 25729  4606 D HONFecService: input: groupId=4636, index=0, length=1452
01-11 18:30:24.839 25729 24050 D HONFecService: input: groupId=4636, index=1, length=1452
01-11 18:30:24.840 25729 24050 D HONFecService: input: groupId=4636, index=2, length=1452
01-11 18:30:24.841 25729  6200 D HONFecService: input: groupId=4636, index=3, length=1452
01-11 18:30:24.841 25729 21035 D HONFecService: output: groupId=3053, index=1, length=40
01-11 18:30:24.842 25729 21065 D HONFecService: input: groupId=4636, index=4, length=1452
01-11 18:30:24.843 25729 24048 D HONFecService: input: groupId=4637, index=1, length=1452
01-11 18:30:24.845 25729 21035 D HONFecService: output: groupId=3053, index=2, length=40
01-11 18:30:24.846 25729 24459 D HONFecService: input: groupId=4637, index=2, length=1452
01-11 18:30:24.846 25729 24048 D HONFecService: output: groupId=3053, index=3, length=40
01-11 18:30:24.848 25729 24459 D HONFecService: input: groupId=4637, index=4, length=1452
01-11 18:30:24.849 25729 24459 D HONFecService: input: groupId=4637, index=0, length=160
01-11 18:30:24.849 25729 24574 D HONFecService: output: groupId=3053, index=4, length=52
01-11 18:30:24.851 25729 21035 D HONFecService: output: groupId=3054, index=0, length=40
01-11 18:30:24.853 25729 24459 D HONFecService: input: groupId=4637, index=3, length=110
01-11 18:30:24.853 25729 24050 D HONFecService: output: groupId=3054, index=1, length=40
01-11 18:30:24.854 25729 21036 D HONFecService: input: groupId=4638, index=0, length=1452
01-11 18:30:24.854 25729 23496 D HONFecService: output: groupId=3054, index=2, length=40
01-11 18:30:24.856 25729 24574 D HONFecService: output: groupId=3054, index=3, length=40
01-11 18:30:24.857 25729 24459 D HONFecService: input: groupId=4638, index=1, length=1452
01-11 18:30:24.860 25729 24459 D HONFecService: input: groupId=4638, index=2, length=1452
01-11 18:30:24.860 25729 21038 D HONFecService: output: groupId=3054, index=4, length=40
01-11 18:30:24.861 25729  4593 D HONFecService: input: groupId=4638, index=3, length=1452
01-11 18:30:24.861 25729 23496 D HONFecService: output: groupId=3055, index=0, length=40
01-11 18:30:24.864 25729  4593 D HONFecService: input: groupId=4638, index=4, length=1452
01-11 18:30:24.865 25729  4606 D HONFecService: output: groupId=3055, index=1, length=40
01-11 18:30:24.867 25729 24574 D HONFecService: input: groupId=4639, index=0, length=1452
01-11 18:30:24.868 25729  4606 D HONFecService: output: groupId=3055, index=2, length=40
01-11 18:30:24.868 25729 24574 D HONFecService: input: groupId=4639, index=1, length=1452
01-11 18:30:24.869 25729 21037 D HONFecService: output: groupId=3055, index=3, length=52
01-11 18:30:24.870 25729 24575 D HONFecService: input: groupId=4639, index=2, length=1452
01-11 18:30:24.872 25729  4593 D HONFecService: output: groupId=3055, index=4, length=40
01-11 18:30:24.874 25729 24416 D HONFecService: output: groupId=3056, index=0, length=40
01-11 18:30:24.875 25729 24575 D HONFecService: input: groupId=4639, index=3, length=1452
01-11 18:30:24.875 25729 24050 D HONFecService: output: groupId=3056, index=1, length=40
01-11 18:30:24.876 25729 24575 D HONFecService: input: groupId=4639, index=4, length=1452
01-11 18:30:24.878 25729 21037 D HONFecService: output: groupId=3056, index=2, length=40
01-11 18:30:24.878 25729 24573 D HONFecService: input: groupId=4640, index=0, length=1452
01-11 18:30:24.880 25729 24573 D HONFecService: input: groupId=4640, index=1, length=1452
01-11 18:30:24.880 25729 21037 D HONFecService: output: groupId=3056, index=3, length=40
01-11 18:30:24.881 25729 24573 D HONFecService: input: groupId=4640, index=2, length=1452
01-11 18:30:24.882 25729 24541 D HONFecService: input: groupId=4640, index=3, length=1452
01-11 18:30:24.882 25729 21070 D HONFecService: output: groupId=3056, index=4, length=113
01-11 18:30:24.883 25729 24541 D HONFecService: input: groupId=4640, index=4, length=1452
01-11 18:30:24.884 25729 21034 D HONFecService: output: groupId=3057, index=0, length=40
01-11 18:30:24.884 25729 24050 D HONFecService: input: groupId=4641, index=0, length=1452
01-11 18:30:24.885 25729  4598 D HONFecService: input: groupId=4641, index=2, length=1452
01-11 18:30:24.886 25729  4598 D HONFecService: input: groupId=4641, index=1, length=679
01-11 18:30:24.887 25729 21034 D HONFecService: output: groupId=3057, index=1, length=143
01-11 18:30:24.890 25729 24575 D HONFecService: input: groupId=4641, index=3, length=1452
01-11 18:30:24.892 25729 24416 D HONFecService: output: groupId=3057, index=2, length=113
